Quantity,UnitPrice,Frequency,InvoiceDate,TotalSpend,Recency,Cluster_2,Cluster Description
0,1.04,2,2011-01-18 10:17:00,0.0,325,0,"Low-Spend, Inactive Buyers"
2458,2.644010989010989,182,2011-12-07 15:52:00,6498.979010989011,1,0,"Low-Spend, Inactive Buyers"
2341,5.764838709677419,31,2011-09-25 13:13:00,13495.487419354838,74,0,"Low-Spend, Inactive Buyers"
631,8.289041095890411,73,2011-11-21 09:51:00,5230.384931506849,18,0,"Low-Spend, Inactive Buyers"
197,3.841176470588235,17,2011-02-02 16:01:00,756.7117647058823,309,0,"Low-Spend, Inactive Buyers"
470,23.274736842105263,95,2011-11-03 14:37:00,10939.126315789474,35,0,"Low-Spend, Inactive Buyers"
20,6.074999999999999,4,2011-05-19 17:47:00,121.49999999999999,203,0,"Low-Spend, Inactive Buyers"
530,4.5037931034482765,58,2011-04-21 13:11:00,2387.010344827587,231,0,"Low-Spend, Inactive Buyers"
240,4.203846153846154,13,2011-05-09 13:49:00,1008.9230769230769,213,0,"Low-Spend, Inactive Buyers"
1591,3.201186440677966,59,2011-11-17 08:40:00,5093.0876271186435,22,0,"Low-Spend, Inactive Buyers"
2708,3.3486259541984733,131,2011-11-06 16:07:00,9068.079083969466,32,0,"Low-Spend, Inactive Buyers"
248,8.27421052631579,19,2011-12-08 10:26:00,2052.0042105263155,1,0,"Low-Spend, Inactive Buyers"
1599,8.805019920318724,251,2011-12-02 11:21:00,14079.22685258964,7,0,"Low-Spend, Inactive Buyers"
1165,3.5496899224806198,129,2011-10-18 15:22:00,4135.388759689922,51,0,"Low-Spend, Inactive Buyers"
91,3.335,10,2011-02-25 13:51:00,303.485,286,0,"Low-Spend, Inactive Buyers"
2212,3.9536131386861313,274,2011-12-06 15:40:00,8745.392262773723,2,0,"Low-Spend, Inactive Buyers"
408,2.3117391304347827,23,2011-08-22 10:18:00,943.1895652173913,109,0,"Low-Spend, Inactive Buyers"
1506,1.910235294117647,85,2011-12-02 10:22:00,2876.8143529411764,7,0,"Low-Spend, Inactive Buyers"
173,30.347826086956523,23,2011-02-21 14:04:00,5250.173913043479,290,0,"Low-Spend, Inactive Buyers"
173,3.2,11,2011-12-05 16:48:00,553.6,3,0,"Low-Spend, Inactive Buyers"
2352,2.794578313253012,166,2011-10-19 14:51:00,6572.8481927710845,50,0,"Low-Spend, Inactive Buyers"
591,3.8742857142857146,63,2011-10-26 10:16:00,2289.7028571428573,44,0,"Low-Spend, Inactive Buyers"
794,3.001346153846154,52,2011-09-29 12:12:00,2383.068846153846,71,0,"Low-Spend, Inactive Buyers"
197,4.582142857142857,14,2011-02-01 13:10:00,902.6821428571429,310,0,"Low-Spend, Inactive Buyers"
342,4.21969696969697,33,2011-11-14 15:37:00,1443.1363636363637,24,0,"Low-Spend, Inactive Buyers"
177,6.644444444444445,18,2011-12-07 11:27:00,1176.0666666666668,2,0,"Low-Spend, Inactive Buyers"
944,2.718831168831169,77,2011-01-28 15:45:00,2566.5766233766235,314,0,"Low-Spend, Inactive Buyers"
2529,2.9974429223744297,219,2011-08-02 10:34:00,7580.5331506849325,129,0,"Low-Spend, Inactive Buyers"
406,2.84390243902439,41,2011-09-19 10:09:00,1154.6243902439023,81,0,"Low-Spend, Inactive Buyers"
1126,3.3869523809523807,105,2011-11-18 11:27:00,3813.7083809523806,21,0,"Low-Spend, Inactive Buyers"
783,4.582857142857143,91,2011-12-05 12:44:00,3588.3771428571426,4,0,"Low-Spend, Inactive Buyers"
1529,3.0936000000000003,100,2011-06-08 08:02:00,4730.1144,184,0,"Low-Spend, Inactive Buyers"
121,7.575666666666667,30,2011-11-11 08:39:00,916.6556666666667,28,0,"Low-Spend, Inactive Buyers"
354,2.391,10,2011-01-06 12:37:00,846.414,337,0,"Low-Spend, Inactive Buyers"
1462,2.7777,100,2011-11-24 12:30:00,4060.9973999999997,15,0,"Low-Spend, Inactive Buyers"
353,3.996875,32,2011-09-21 09:33:00,1410.8968750000001,79,0,"Low-Spend, Inactive Buyers"
293,2.416774193548387,93,2011-11-18 12:07:00,708.1148387096773,21,0,"Low-Spend, Inactive Buyers"
816,2.2796875,64,2011-09-28 15:41:00,1860.2250000000001,71,0,"Low-Spend, Inactive Buyers"
819,3.3707407407407404,27,2011-10-07 08:08:00,2760.6366666666663,63,0,"Low-Spend, Inactive Buyers"
2113,3.959685534591195,159,2011-11-24 12:20:00,8366.815534591195,15,0,"Low-Spend, Inactive Buyers"
1263,3.4682539682539684,126,2011-11-04 09:52:00,4380.404761904762,35,0,"Low-Spend, Inactive Buyers"
1394,1.992705882352941,85,2011-10-25 10:27:00,2777.832,45,0,"Low-Spend, Inactive Buyers"
1178,2.1145762711864404,59,2011-08-12 13:15:00,2490.970847457627,118,0,"Low-Spend, Inactive Buyers"
11,9.68,5,2011-02-09 13:50:00,106.47999999999999,302,0,"Low-Spend, Inactive Buyers"
94,3.290909090909091,11,2011-01-20 13:49:00,309.3454545454546,322,0,"Low-Spend, Inactive Buyers"
95,8.9,6,2011-10-21 11:00:00,845.5,49,0,"Low-Spend, Inactive Buyers"
857,3.5442592592592597,54,2011-07-14 08:52:00,3037.4301851851856,148,0,"Low-Spend, Inactive Buyers"
1809,2.8332407407407407,108,2011-11-17 19:22:00,5125.3324999999995,21,0,"Low-Spend, Inactive Buyers"
1416,3.2674025974025973,77,2011-10-21 10:11:00,4626.642077922078,49,0,"Low-Spend, Inactive Buyers"
1399,3.128141592920354,113,2011-11-07 12:30:00,4376.270088495575,32,0,"Low-Spend, Inactive Buyers"
